date,confirmed,recovered
30 January ,1,0
31 January ,1,0
01 February ,1,0
02 February ,2,0
03 February ,3,0
04 February ,3,0
05 February ,3,0
06 February ,3,0
07 February ,3,0
08 February ,3,0
09 February ,3,0
10 February ,3,0
11 February ,3,0
12 February ,3,0
13 February ,3,1
14 February ,3,1
15 February ,3,1
16 February ,3,2
17 February ,3,2
18 February ,3,2
19 February ,3,2
20 February ,3,3
21 February ,3,3
22 February ,3,3
23 February ,3,3
24 February ,3,3
25 February ,3,3
26 February ,3,3
27 February ,3,3
28 February ,3,3
29 February ,3,3
01 March ,3,3
02 March ,5,3
03 March ,6,3
04 March ,28,3
05 March ,30,3
06 March ,31,3
07 March ,34,3
08 March ,39,3
09 March ,48,3
10 March ,63,4
11 March ,71,4
12 March ,81,4
13 March ,91,10
14 March ,102,10
15 March ,112,13
16 March ,126,14
17 March ,146,15
18 March ,171,15
19 March ,198,20
20 March ,256,23
21 March ,334,23
22 March ,403,23
23 March ,497,25
24 March ,571,40
25 March ,657,43
26 March ,730,50
27 March ,883,75
28 March ,1019,85
29 March ,1139,102
30 March ,1326,137
31 March ,1635,150
01 April ,2059,169
02 April ,2545,191
03 April ,3105,230
04 April ,3684,286
05 April ,4293,329
06 April ,4777,394
07 April ,5350,469
08 April ,5915,565
09 April ,6728,635
10 April ,7599,786
11 April ,8453,972
12 April ,9211,1086
13 April ,10454,1198
14 April ,11485,1365
15 April ,12371,1509
16 April ,13432,1767
17 April ,14354,2040
18 April ,15725,2466
19 April ,17305,2854
20 April ,18544,3273
21 April ,20081,3976
22 April ,21373,4370
23 April ,23040,5012
24 April ,24448,5496
25 April ,26283,5938
26 April ,27890,6523
27 April ,29458,7103
28 April ,31360,7739
29 April ,33065,8429
30 April ,34866,9059
01 May ,37262,10021
02 May ,39826,10852
03 May ,42778,11763
04 May ,46434,12845
05 May ,49405,14140
06 May ,53007,15301
07 May ,56351,16776
08 May ,59690,17887
09 May ,62865,19301
10 May ,67176,20970
11 May ,70768,22549
12 May ,74330,24454
13 May ,78056,26417
14 May ,82047,28011
15 May ,85855,30245
16 May ,90649,34257
17 May ,95698,36795
18 May ,100326,39277
19 May ,106480,42309
20 May ,112200,45422
21 May ,118223,48553
22 May ,124759,51833
23 May ,131424,54409
24 May ,138537,57694
25 May ,144951,60706
26 May ,150858,64291
27 May ,158104,67725
28 May ,165358,70896
29 May ,173496,82631
30 May ,181860,86934
31 May ,190649,91862
01 June ,198372,95744
02 June ,207187,100275
03 June ,216876,104064
04 June ,226723,108454
05 June ,236195,113224
06 June ,246603,118657
07 June ,257485,123848
08 June ,266021,129019
09 June ,276002,134653
10 June ,287158,140928
11 June ,298293,146972
12 June ,309599,154235
13 June ,321638,162327
14 June ,333043,169685
15 June ,343075,180324
16 June ,354161,187550
17 June ,367269,194440
18 June ,381098,205181
19 June ,395838,214210
20 June ,411753,228184
21 June ,426904,237259
22 June ,440464,248138
23 June ,456120,258600
24 June ,472988,271689
25 June ,491193,285672
26 June ,509448,295918
27 June ,529590,310147
28 June ,549200,321778
29 June ,567539,335275
30 June ,585795,347840
01 July ,605224,359904
02 July ,627171,379903
03 July ,649889,394320
04 July ,673907,409066
05 July ,697849,424895
06 July ,720349,440210
07 July ,743496,457046
08 July ,769057,476554
09 July ,794847,495962
10 July ,822609,516251
11 July ,850366,536232
12 July ,879472,554430
13 July ,907650,572113
14 July ,937567,593090
15 July ,970174,613736
16 July ,1005642,636603
17 July ,1040462,654079
18 July ,1077873,677662
19 July ,1118108,700392
20 July ,1154914,724695
21 July ,1194084,752284
22 July ,1239685,784159
23 July ,1288128,817485
24 July ,1337016,849999
25 July ,1387088,887124
26 July ,1436020,918636
27 July ,1482504,952990
28 July ,1532135,988673
29 July ,1584614,1021559
30 July ,1639582,1058984
31 July ,1697068,1095538
01 August ,1752185,1146906
02 August ,1804857,1187261
03 August ,1855345,1230331
04 August ,1906627,1281551
05 August ,1963253,1327134
06 August ,2025423,1377275
